Well,Curve,Dye,CT,Cycle 1,Cycle 2,Cycle 3,Cycle 4,Cycle 5,Cycle 6,Cycle 7,Cycle 8,Cycle 9,Cycle 10,Cycle 11,Cycle 12,Cycle 13,Cycle 14,Cycle 15,Cycle 16,Cycle 17,Cycle 18,Cycle 19,Cycle 20,Cycle 21,Cycle 22,Cycle 23,Cycle 24,Cycle 25,Cycle 26,Cycle 27,Cycle 28,Cycle 29,Cycle 30,Cycle 31,Cycle 32,Cycle 33,Cycle 34,Cycle 35,Cycle 36,Cycle 37,Cycle 38,Cycle 39,Cycle 40
A1,amp0,SYBR,13.09,-6.23,2.77,4.42,0.95,1.06,1.18,2.25,3.62,10.8,30.34,68.46,132.62,255.23,451.88,767.73,1173.33,1581.52,1934.77,2198.62,2373.35,2485.45,2560.07,2612.62,2650.85,2683.0,2706.63,2725.04,2737.24,2747.22,2755.48,2765.63,2780.46,2805.46,2833.58,2865.03,2892.47,2918.55,2941.54,2959.43,2975.14
A2,amp0,SYBR,13.34,22.94,12.87,4.12,4.19,2.17,-1.21,-1.81,4.49,5.24,27.21,51.51,111.8,214.14,390.7,658.15,1033.3,1412.74,1740.98,1990.73,2156.18,2260.14,2325.81,2369.78,2401.01,2420.48,2435.59,2448.03,2458.37,2467.03,2471.98,2476.43,2482.66,2498.62,2520.64,2545.23,2567.47,2590.49,2609.87,2622.66,2628.72
A11,amp0,SYBR,15.78,15.23,10.86,3.39,6.42,-0.45,-3.33,-1.22,-6.01,5.65,4.5,2.44,18.54,43.99,92.59,176.43,315.55,529.46,813.77,1103.86,1352.63,1534.88,1655.48,1730.24,1778.77,1811.14,1831.79,1846.09,1857.02,1866.46,1876.64,1878.16,1881.24,1883.07,1889.99,1901.37,1920.52,1942.98,1962.81,1980.68,2000.52
A12,amp0,SYBR,15.64,11.65,7.77,1.61,6.54,-0.03,1.07,0.49,-7.35,2.82,-2.28,8.9,18.52,51.47,103.53,188.33,334.72,564.48,849.62,1135.33,1374.98,1547.86,1663.12,1733.34,1777.18,1803.34,1822.03,1833.49,1844.42,1852.43,1858.31,1859.26,1861.26,1863.84,1868.57,1876.01,1890.96,1910.29,1931.67,1950.39,1968.57
B1,amp0,SYBR,16.01,9.94,3.78,2.54,-1.41,2.77,3.4,3.08,-0.95,-2.52,-2.25,6.91,21.87,39.66,85.9,161.74,290.58,478.23,724.48,996.8,1196.69,1353.51,1454.28,1519.41,1559.34,1585.29,1600.34,1611.76,1621.61,1627.68,1630.97,1631.05,1632.69,1636.76,1645.42,1657.28,1670.33,1686.86,1701.99,1717.39,1728.78
B2,amp0,SYBR,15.59,6.21,-1.49,5.52,-0.31,1.89,1.14,-0.47,-1.08,-4.73,1.07,8.35,23.81,50.29,102.43,192.21,344.39,576.21,885.48,1204.33,1481.79,1689.48,1830.97,1917.49,1972.82,2009.63,2037.38,2060.2,2079.73,2092.78,2103.67,2107.36,2114.95,2120.86,2128.7,2139.18,2157.34,2181.29,2205.34,2226.72,2248.79
B3,amp0,SYBR,15.91,-2.44,3.39,1.14,1.33,2.26,1.06,0.4,0.45,-1.17,3.8,14.03,24.67,52.85,92.91,175.65,301.8,499.52,770.13,1060.86,1314.61,1509.79,1641.05,1724.08,1773.35,1804.1,1826.99,1845.61,1860.7,1867.87,1874.45,1879.03,1886.34,1892.94,1903.74,1919.69,1941.15,1965.33,1988.75,2008.33,2026.39
B4,amp0,SYBR,15.55,6.55,4.4,3.83,4.82,1.39,-1.03,-0.44,-0.21,-3.58,-1.05,10.5,24.98,51.65,100.96,195.45,350.0,589.97,905.33,1244.47,1539.0,1759.72,1907.14,2001.8,2064.22,2105.64,2124.19,2133.02,2139.38,2150.9,2158.61,2162.56,2161.59,2162.04,2168.04,2181.87,2203.82,2225.69,2248.26,2266.53,2284.42
B5,amp0,SYBR,19.49,9.08,3.92,2.33,-0.57,3.7,2.08,0.84,3.44,-3.47,2.61,-1.13,-0.97,-3.77,2.22,7.31,25.5,56.67,108.79,203.97,362.51,604.44,948.64,1317.15,1640.71,1887.72,2054.23,2162.2,2228.74,2269.54,2294.92,2314.29,2331.57,2343.74,2353.53,2361.47,2369.05,2379.08,2402.71,2427.16,2451.97
B6,amp0,SYBR,19.35,3.98,4.94,3.3,1.15,5.26,-0.5,0.71,-1.43,-3.44,-2.11,-1.67,2.18,0.36,7.4,17.23,33.79,65.19,119.87,222.36,389.69,650.88,998.86,1381.96,1716.34,1968.93,2135.03,2239.13,2304.14,2347.1,2372.21,2392.73,2408.02,2423.18,2435.26,2441.28,2444.79,2449.85,2471.42,2502.41,2538.66
B7,amp0,SYBR,19.38,4.6,2.57,3.45,-3.54,4.5,-0.52,2.66,-4.28,3.16,3.54,0.06,1.27,-1.49,2.65,15.92,34.93,63.63,120.09,223.26,383.78,641.81,993.18,1363.73,1684.85,1928.04,2086.95,2190.33,2255.79,2300.39,2327.78,2347.28,2363.68,2376.2,2385.56,2392.91,2398.25,2406.63,2421.74,2444.78,2471.53
B8,amp0,SYBR,19.53,4.85,4.82,4.63,1.04,-1.21,1.21,-0.05,1.87,-1.36,-0.4,-3.44,2.69,0.63,4.98,12.42,30.48,60.07,113.64,202.01,354.77,592.46,913.56,1263.44,1571.63,1807.77,1966.1,2066.02,2130.18,2173.29,2201.79,2220.98,2233.9,2244.75,2254.22,2262.26,2268.08,2276.53,2293.94,2317.85,2345.14
A3,amp0,SYBR,13.38,6.84,7.68,5.92,1.8,2.95,-4.78,0.11,1.73,6.91,23.91,55.64,112.97,208.25,382.6,641.46,1003.79,1394.44,1736.48,1997.62,2175.7,2289.8,2361.54,2408.74,2439.7,2464.91,2484.16,2496.72,2506.98,2511.99,2516.15,2518.65,2528.72,2547.59,2573.72,2601.36,2626.83,2650.2,2670.44,2690.97,2709.9
B9,amp0,SYBR,19.6,5.4,0.48,4.78,-1.12,4.57,4.42,0.04,0.34,-3.33,-2.42,-5.43,-1.06,0.26,2.39,9.74,24.67,57.71,102.34,194.8,343.19,575.34,893.65,1249.78,1565.51,1810.7,1978.49,2082.58,2148.21,2187.07,2214.5,2233.54,2250.3,2263.79,2272.45,2278.63,2282.49,2293.31,2307.58,2332.38,2361.83
B10,amp0,SYBR,19.52,6.9,1.75,-0.27,-1.9,1.74,3.43,2.99,0.31,3.18,-0.26,-0.41,-0.76,0.18,1.98,15.44,30.0,57.41,108.97,204.21,355.33,596.13,923.96,1282.16,1600.08,1846.39,2011.5,2115.21,2183.54,2229.42,2259.91,2277.3,2291.89,2303.74,2314.13,2319.73,2325.21,2332.34,2349.33,2371.46,2398.63
B11,amp0,SYBR,19.59,13.66,11.55,6.12,0.15,5.38,1.0,0.17,-1.1,-5.07,-2.12,-1.0,-1.88,0.97,4.14,7.73,22.75,56.48,104.12,199.41,343.25,577.73,909.38,1255.24,1557.54,1791.67,1948.48,2045.76,2108.34,2149.15,2182.06,2201.15,2214.8,2224.17,2235.48,2246.08,2254.14,2261.75,2277.89,2298.9,2322.13
B12,amp0,SYBR,19.69,7.7,8.92,4.27,0.75,3.52,3.18,-0.96,-0.86,-3.52,-6.44,-4.75,-5.56,1.47,-0.38,13.15,23.09,46.58,103.56,186.37,334.18,548.31,821.66,1104.31,1343.49,1518.9,1631.55,1700.6,1741.08,1769.13,1786.99,1801.71,1811.11,1820.51,1826.44,1827.87,1830.38,1835.17,1847.76,1864.9,1887.08
C1,amp0,SYBR,23.08,-1.68,2.5,5.1,0.27,-0.91,1.58,-0.56,-0.14,3.08,-1.23,-3.2,0.3,2.61,-2.39,-1.68,-2.41,2.53,6.83,15.49,40.86,78.26,144.63,259.38,458.87,749.62,1127.27,1509.1,1834.89,2070.88,2225.38,2319.0,2378.36,2416.49,2441.72,2459.73,2474.01,2484.05,2492.15,2503.17,2522.52
C2,amp0,SYBR,23.28,0.2,1.64,-0.57,-1.82,3.73,4.99,-0.06,-0.67,3.97,2.37,0.83,-1.82,-2.93,-0.94,-2.82,-3.96,0.36,10.29,17.37,34.34,65.5,127.22,234.04,407.2,672.01,1034.24,1423.89,1765.33,2025.96,2198.96,2305.81,2374.68,2419.87,2454.28,2474.2,2488.45,2497.61,2507.91,2515.87,2520.21
C3,amp0,SYBR,23.43,-3.12,4.27,1.81,-0.22,-0.16,4.1,2.05,-0.28,1.26,-0.18,-0.81,0.16,-0.48,-0.41,-1.14,-1.81,1.79,5.9,14.66,31.68,62.54,118.34,211.23,376.29,623.21,972.04,1380.41,1740.99,2021.33,2210.42,2325.1,2397.56,2439.59,2473.25,2496.02,2510.42,2522.24,2534.98,2545.37,2552.91
C4,amp0,SYBR,23.44,8.87,4.29,-0.87,3.97,3.35,2.94,3.84,0.23,-1.2,1.48,-1.02,-0.94,-2.44,-0.71,-1.9,-2.81,-6.01,6.09,11.72,25.96,63.67,117.66,206.93,372.06,620.41,969.92,1367.97,1724.37,2005.2,2196.34,2315.22,2389.03,2437.84,2470.08,2491.65,2506.03,2519.57,2533.35,2543.64,2551.46
C5,amp0,SYBR,23.47,9.16,1.12,-0.33,2.21,0.06,4.27,0.85,4.65,-0.93,-0.88,-2.56,-1.77,-0.45,-2.32,-1.28,0.69,2.15,6.05,17.31,33.26,60.22,120.53,207.78,368.08,609.12,946.8,1317.45,1647.09,1903.48,2075.2,2182.15,2249.91,2295.34,2323.21,2340.96,2352.47,2363.67,2372.83,2378.81,2383.01
C6,amp0,SYBR,23.74,4.78,-1.05,1.23,0.19,0.16,3.29,-1.45,2.38,1.5,-1.0,-0.14,3.15,-1.36,-2.68,-1.02,4.19,-2.11,4.29,12.59,29.07,55.79,103.9,178.35,324.0,536.08,830.78,1166.89,1467.22,1704.95,1862.19,1960.58,2020.67,2064.11,2093.99,2112.54,2124.2,2133.56,2142.12,2150.38,2157.88
A4,amp0,SYBR,13.37,13.87,13.23,4.94,3.19,2.55,1.71,-2.19,0.1,8.59,20.44,45.84,105.5,205.78,383.63,649.31,1021.47,1423.26,1778.82,2054.46,2240.91,2358.14,2430.81,2478.86,2511.4,2536.13,2552.72,2564.15,2573.7,2587.15,2595.9,2601.23,2602.98,2619.23,2643.57,2673.44,2700.79,2726.86,2747.06,2762.13,2774.0
C7,amp0,SYBR,23.38,10.19,2.04,3.35,1.69,3.99,-1.4,0.13,0.27,0.18,0.04,-2.88,3.34,-3.44,1.48,-5.35,2.36,0.74,7.92,17.02,32.25,64.31,119.85,220.36,385.02,641.52,985.13,1374.36,1719.61,1984.5,2162.71,2272.56,2344.16,2392.9,2422.74,2441.45,2453.1,2466.07,2475.38,2482.73,2488.41
