Well,Curve,Dye,CT,Cycle 1,Cycle 2,Cycle 3,Cycle 4,Cycle 5,Cycle 6,Cycle 7,Cycle 8,Cycle 9,Cycle 10,Cycle 11,Cycle 12,Cycle 13,Cycle 14,Cycle 15,Cycle 16,Cycle 17,Cycle 18,Cycle 19,Cycle 20,Cycle 21,Cycle 22,Cycle 23,Cycle 24,Cycle 25,Cycle 26,Cycle 27,Cycle 28,Cycle 29,Cycle 30,Cycle 31,Cycle 32,Cycle 33,Cycle 34,Cycle 35,Cycle 36,Cycle 37,Cycle 38,Cycle 39,Cycle 40
A1,amp0,SYBR,13.46,11.41,9.0,6.68,-0.21,1.1,0.39,0.91,-0.8,7.13,22.14,48.98,99.61,192.33,353.67,594.32,924.06,1271.85,1573.22,1802.52,1951.62,2044.53,2099.32,2133.78,2153.65,2166.65,2174.59,2182.24,2185.91,2187.47,2190.01,2193.31,2200.93,2212.35,2232.9,2257.43,2277.83,2295.96,2307.36,2320.47,2331.85
A2,amp0,SYBR,13.67,14.64,9.29,3.39,3.29,1.69,-0.98,-1.65,0.66,6.26,23.03,44.3,94.1,177.58,317.86,535.45,837.93,1154.66,1433.16,1645.05,1785.36,1869.91,1921.41,1955.17,1976.34,1990.02,1999.08,2008.45,2012.22,2015.18,2014.33,2017.97,2022.43,2029.9,2042.54,2060.95,2084.42,2107.42,2128.26,2144.33,2157.17
A11,amp0,SYBR,15.48,14.88,14.09,4.17,1.02,-1.15,4.58,-4.18,-1.74,1.72,5.18,15.68,27.66,61.22,116.29,206.51,361.67,576.44,841.14,1081.25,1280.24,1419.07,1504.45,1554.29,1584.56,1607.16,1622.58,1636.1,1641.17,1646.84,1649.77,1656.6,1663.28,1674.7,1685.7,1698.51,1709.24,1722.26,1734.77,1747.1,1758.16
A12,amp0,SYBR,15.52,14.21,15.72,1.54,6.9,-4.0,2.42,-1.08,-4.68,1.58,6.13,11.7,26.78,60.22,114.55,206.16,357.97,563.22,828.7,1048.6,1230.24,1355.74,1432.29,1474.65,1500.65,1515.46,1527.53,1534.29,1537.78,1538.4,1538.23,1538.68,1537.53,1535.43,1535.26,1538.89,1548.28,1563.54,1581.64,1599.98,1616.48
B1,amp0,SYBR,15.37,11.12,10.14,5.7,2.16,2.48,-5.63,-1.71,3.98,1.29,5.12,9.48,27.45,55.02,119.61,217.56,380.45,609.13,893.25,1131.21,1324.27,1462.98,1544.12,1592.86,1618.52,1634.23,1646.45,1652.33,1655.87,1656.19,1656.09,1657.65,1658.08,1659.12,1659.52,1665.5,1675.49,1692.03,1711.62,1733.03,1754.36
B2,amp0,SYBR,15.47,12.41,4.88,3.11,4.32,1.11,-1.19,-4.84,1.47,-2.65,8.46,14.74,33.65,61.14,115.71,209.25,361.8,580.58,854.13,1103.95,1313.38,1462.37,1551.52,1603.94,1633.54,1655.26,1668.3,1678.49,1682.52,1685.67,1686.18,1689.95,1688.53,1690.49,1688.82,1695.33,1704.51,1721.13,1739.64,1762.69,1788.73
B3,amp0,SYBR,15.49,4.28,4.98,1.21,5.4,-0.22,-0.17,-0.92,-0.45,-2.38,6.97,16.83,33.43,61.19,118.81,206.97,361.14,574.2,848.83,1103.71,1316.78,1468.62,1563.61,1618.19,1651.48,1671.06,1683.56,1691.65,1700.58,1706.52,1707.25,1703.97,1701.5,1700.87,1702.27,1708.84,1718.33,1736.29,1752.52,1773.46,1790.33
B4,amp0,SYBR,15.48,5.22,4.05,2.42,3.51,0.98,-0.83,-1.92,0.1,-0.83,6.05,14.2,33.91,63.96,113.94,210.12,358.67,578.03,854.75,1108.3,1321.39,1473.7,1569.7,1626.79,1660.02,1682.26,1696.14,1707.74,1713.5,1718.66,1721.1,1723.95,1725.49,1729.83,1734.14,1743.21,1753.9,1771.39,1791.95,1815.6,1839.11
B5,amp0,SYBR,19.06,5.69,6.1,-0.21,1.71,2.81,0.76,-0.13,2.89,0.34,-1.34,0.23,-0.06,3.51,7.4,20.98,42.09,82.51,143.77,261.86,447.38,715.0,1029.76,1314.63,1550.9,1716.02,1820.29,1882.69,1923.4,1950.47,1970.2,1984.16,1994.8,2004.74,2010.97,2015.56,2018.81,2027.27,2041.15,2061.22,2084.74
B6,amp0,SYBR,19.1,7.09,5.74,4.21,-0.4,1.24,-1.61,4.32,2.35,-2.48,0.73,-3.24,-0.97,1.79,5.98,18.22,38.24,77.54,140.19,257.42,437.35,716.44,1071.33,1407.1,1695.17,1907.0,2043.69,2124.66,2177.39,2210.35,2233.71,2249.65,2263.37,2274.93,2284.02,2291.38,2295.23,2299.88,2308.39,2326.35,2348.65
B7,amp0,SYBR,18.94,7.15,7.48,0.45,2.7,4.54,0.72,4.94,0.9,-4.7,-2.88,-4.56,-2.4,3.85,8.96,22.38,42.96,87.18,156.98,279.46,475.87,776.29,1160.88,1526.01,1834.75,2059.1,2199.56,2286.96,2341.94,2379.35,2402.57,2418.25,2431.5,2441.06,2449.29,2455.6,2462.33,2466.59,2473.94,2489.45,2514.52
