Well,Curve,Dye,CT,Cycle 1,Cycle 2,Cycle 3,Cycle 4,Cycle 5,Cycle 6,Cycle 7,Cycle 8,Cycle 9,Cycle 10,Cycle 11,Cycle 12,Cycle 13,Cycle 14,Cycle 15,Cycle 16,Cycle 17,Cycle 18,Cycle 19,Cycle 20,Cycle 21,Cycle 22,Cycle 23,Cycle 24,Cycle 25,Cycle 26,Cycle 27,Cycle 28,Cycle 29,Cycle 30,Cycle 31,Cycle 32,Cycle 33,Cycle 34,Cycle 35,Cycle 36,Cycle 37,Cycle 38,Cycle 39,Cycle 40
A1,amp0,SYBR,13.44,20.21,10.4,6.55,0.89,-0.89,0.22,1.63,5.88,20.28,48.07,95.2,170.21,294.29,479.12,744.23,1066.38,1408.32,1727.57,2001.62,2218.32,2376.72,2490.32,2568.95,2627.96,2668.97,2701.73,2723.94,2741.15,2752.32,2760.69,2768.92,2776.09,2781.35,2782.85,2783.01,2784.05,2785.34,2788.37,2786.47,2781.26
A2,amp0,SYBR,13.1,22.24,10.1,6.1,3.23,0.39,-1.85,2.21,7.16,25.85,54.43,109.99,203.18,347.13,567.45,866.95,1234.69,1603.6,1935.89,2208.43,2415.03,2563.96,2668.08,2737.54,2786.3,2820.64,2847.68,2867.25,2882.49,2891.31,2897.91,2900.35,2904.37,2904.75,2907.49,2908.12,2908.78,2907.44,2906.21,2905.63,2904.55
A11,amp0,SYBR,23.65,7.54,5.36,2.96,5.85,1.51,1.54,3.73,0.52,-3.91,-1.31,-6.01,-4.11,-3.37,-1.47,-2.69,-0.4,2.99,13.45,26.73,50.01,90.82,157.9,270.75,439.45,680.93,1000.98,1365.99,1709.56,2010.98,2249.85,2424.05,2545.96,2628.79,2689.34,2732.31,2765.11,2789.63,2810.21,2824.4,2834.61
A12,amp0,SYBR,23.44,10.46,3.83,6.62,3.97,2.92,-0.15,-0.38,-2.04,-1.4,-1.04,-2.51,-2.75,-1.52,-5.21,-1.15,-0.03,2.75,12.9,27.39,57.83,99.47,173.32,298.36,481.7,744.48,1083.49,1447.59,1782.11,2060.83,2274.51,2426.48,2532.43,2603.07,2653.26,2688.86,2716.24,2735.48,2751.51,2762.87,2771.07
A13,amp0,SYBR,27.74,3.21,3.64,1.64,0.88,4.31,-0.54,1.87,3.04,2.18,-0.83,0.3,-3.49,-0.68,-5.96,-4.64,-2.92,-3.59,-3.57,-0.53,1.63,2.26,12.52,28.81,50.69,90.51,156.81,258.17,422.71,657.57,979.38,1362.26,1731.8,2062.68,2331.83,2532.35,2673.32,2768.76,2833.21,2869.63,2885.75
A14,amp0,SYBR,27.61,7.41,6.39,1.03,6.16,2.52,3.43,2.08,-0.33,1.43,-3.08,1.31,-1.19,-3.16,-4.21,-3.68,-7.11,-2.59,-2.61,-0.58,2.06,3.24,14.82,25.89,51.63,94.86,161.75,273.45,444.87,693.61,1007.14,1352.65,1673.74,1946.51,2154.78,2304.7,2406.72,2475.44,2520.91,2552.76,2578.89
A15,amp0,SYBR,27.23,6.51,3.61,1.77,4.12,2.43,3.19,3.04,1.8,-0.65,-2.51,0.54,-0.5,-2.28,-6.0,-4.82,-2.85,-3.08,-1.56,-0.87,0.69,6.24,11.55,32.7,60.31,113.59,195.45,328.38,532.36,806.69,1145.64,1470.39,1755.32,1979.63,2141.47,2252.52,2325.89,2375.44,2410.69,2436.03,2457.13
A16,amp0,SYBR,32.39,2.71,-1.9,1.0,2.83,-1.11,1.54,0.58,3.48,0.59,-0.25,1.06,-2.07,1.64,-0.19,-1.32,-2.2,-1.67,-2.41,-1.82,1.55,-2.97,-2.1,-1.14,-0.8,2.14,10.42,20.48,32.88,63.01,109.5,185.13,304.76,493.56,755.36,1100.59,1478.29,1831.59,2134.18,2372.22,2562.34
A17,amp0,SYBR,31.9,4.04,-0.48,3.01,2.23,1.4,3.2,-1.44,0.6,3.73,-0.38,1.61,0.55,-2.61,-1.88,-1.77,-1.93,-2.52,-2.39,-2.75,-3.91,-4.08,-0.85,2.06,1.1,3.67,11.42,27.93,45.96,81.0,140.3,238.34,392.77,619.66,929.8,1311.95,1679.42,2008.68,2273.87,2468.99,2617.59
A18,amp0,SYBR,31.29,7.33,2.35,0.63,0.1,2.83,1.71,4.39,4.65,2.54,4.08,-1.09,0.78,-1.41,-3.42,-2.06,-2.92,-5.36,-4.0,-3.47,-6.11,-1.73,-1.6,0.76,1.91,1.71,17.58,32.92,58.62,106.06,183.43,314.1,513.07,796.77,1165.61,1548.48,1896.91,2183.79,2397.23,2544.65,2653.19
