Well,Curve,Dye,CT,Cycle 1,Cycle 2,Cycle 3,Cycle 4,Cycle 5,Cycle 6,Cycle 7,Cycle 8,Cycle 9,Cycle 10,Cycle 11,Cycle 12,Cycle 13,Cycle 14,Cycle 15,Cycle 16,Cycle 17,Cycle 18,Cycle 19,Cycle 20,Cycle 21,Cycle 22,Cycle 23,Cycle 24,Cycle 25,Cycle 26,Cycle 27,Cycle 28,Cycle 29,Cycle 30,Cycle 31,Cycle 32,Cycle 33,Cycle 34,Cycle 35,Cycle 36,Cycle 37,Cycle 38,Cycle 39,Cycle 40
B7,amp0,SYBR,18.4,10.6,3.0,5.34,-0.84,2.78,0.46,-0.16,-1.5,-2.63,1.04,0.95,1.82,4.58,14.38,31.14,61.96,118.98,218.49,386.15,635.09,979.19,1330.75,1635.9,1865.71,2020.06,2113.88,2170.69,2205.04,2227.65,2244.43,2259.04,2272.24,2280.8,2286.93,2291.88,2297.44,2308.34,2325.85,2350.66,2376.38
B8,amp0,SYBR,18.52,7.64,4.27,3.94,5.11,-3.22,-0.18,0.56,0.39,-2.93,-0.02,3.65,-0.76,5.14,12.82,28.02,56.54,109.72,205.42,358.85,600.9,917.58,1258.87,1556.53,1782.22,1932.43,2022.89,2079.12,2115.8,2142.09,2159.48,2174.39,2184.38,2193.81,2197.62,2203.38,2207.6,2220.44,2239.17,2267.47,2297.77
A3,amp0,SYBR,13.56,16.27,8.41,3.84,0.1,5.28,-0.58,0.74,4.63,9.94,18.3,51.41,103.9,196.28,350.23,588.61,897.38,1205.99,1465.75,1655.0,1775.43,1848.81,1893.18,1920.06,1939.09,1950.41,1957.63,1960.58,1963.66,1968.27,1971.57,1973.97,1975.08,1983.08,2000.46,2026.38,2055.2,2081.5,2106.29,2125.7,2141.32
B9,amp0,SYBR,18.62,13.37,10.4,5.24,1.41,1.86,0.24,-1.24,-0.54,-0.73,0.65,-1.48,2.53,6.09,14.44,21.55,49.69,99.74,192.29,342.96,571.29,884.14,1224.0,1521.27,1752.98,1906.57,2001.55,2057.67,2096.87,2124.39,2142.1,2154.54,2162.9,2171.93,2176.01,2180.84,2186.06,2196.38,2215.64,2241.45,2272.82
B10,amp0,SYBR,18.88,6.75,2.73,3.39,3.34,3.94,-0.81,-3.3,-2.17,2.07,0.7,-1.54,0.14,7.56,11.46,24.23,50.89,91.58,171.17,311.09,507.16,790.56,1102.78,1376.09,1587.12,1730.34,1818.86,1871.09,1903.77,1927.85,1947.4,1962.33,1972.67,1979.57,1983.31,1986.49,1991.22,2001.38,2018.05,2039.81,2063.52
B11,amp0,SYBR,18.55,10.44,1.95,1.31,5.1,2.77,-1.26,-2.09,-2.58,0.7,-1.44,3.9,-3.22,6.81,14.14,31.85,61.22,116.35,202.19,353.56,591.32,903.69,1236.17,1525.16,1746.36,1892.17,1981.69,2035.96,2075.44,2102.41,2121.44,2134.14,2147.52,2156.88,2161.3,2165.76,2171.24,2184.37,2201.5,2226.33,2251.58
B12,amp0,SYBR,18.83,22.84,12.62,5.28,6.05,4.95,-0.82,-6.16,-3.79,-4.02,-3.65,-1.31,-5.24,-1.1,17.17,20.11,48.77,98.68,175.34,314.5,520.22,784.38,1047.1,1268.37,1427.94,1527.86,1588.15,1622.62,1648.99,1664.57,1678.9,1686.54,1695.6,1702.29,1708.09,1710.59,1712.67,1719.9,1734.13,1754.1,1776.05
C1,amp0,SYBR,21.76,3.22,-2.46,3.31,3.58,3.13,4.05,-1.84,0.28,-2.45,-2.55,-2.81,-1.27,0.55,-4.99,-2.75,0.95,14.4,20.33,43.07,93.61,173.15,316.59,537.46,867.53,1262.85,1620.02,1906.03,2104.01,2229.18,2308.93,2360.12,2398.3,2424.83,2446.85,2461.75,2474.96,2485.06,2493.95,2503.18,2513.26
C2,amp0,SYBR,22.01,-0.42,-3.31,-0.58,1.06,1.72,6.49,1.36,1.23,1.65,-1.41,-2.36,-3.17,-3.23,-2.94,1.08,2.52,7.82,18.6,46.33,84.87,154.26,280.02,480.77,789.38,1177.44,1552.76,1866.66,2091.63,2233.86,2320.49,2374.21,2410.21,2436.61,2457.03,2475.29,2486.02,2491.92,2494.42,2498.4,2502.39
C3,amp0,SYBR,22.2,1.81,1.27,2.2,4.09,2.22,2.64,1.83,-3.9,-5.2,-0.96,0.38,0.62,-1.07,0.53,-0.85,1.26,7.17,20.12,37.32,70.11,137.98,250.15,430.35,707.62,1086.06,1474.4,1812.16,2065.14,2233.68,2336.86,2400.97,2444.97,2474.63,2496.22,2509.46,2521.36,2530.8,2546.35,2558.23,2569.22
C4,amp0,SYBR,22.16,4.85,2.9,2.44,0.0,1.53,-0.36,-0.32,1.59,1.59,1.79,-1.09,-1.4,2.48,-0.78,-4.15,3.16,4.06,19.39,42.08,76.84,138.81,251.04,440.38,717.26,1100.29,1492.04,1831.73,2086.27,2253.16,2354.42,2420.36,2468.2,2494.6,2509.53,2516.16,2527.55,2537.54,2546.13,2551.79,2553.5
C5,amp0,SYBR,22.25,6.49,0.23,1.65,3.17,1.54,2.19,1.33,-1.63,1.22,-1.83,-2.02,-3.24,1.15,1.94,-1.14,2.32,5.44,15.94,39.28,72.63,131.03,233.55,417.3,682.76,1040.07,1400.72,1709.92,1938.4,2088.49,2178.73,2236.23,2273.9,2299.87,2318.17,2332.68,2346.02,2351.87,2361.85,2368.99,2377.75
C6,amp0,SYBR,22.27,2.83,0.82,-0.8,1.85,2.64,3.09,2.21,0.39,-0.57,-2.77,-1.17,-1.47,-0.08,-1.15,-0.77,0.97,6.42,22.28,37.53,73.69,134.74,245.38,414.74,672.83,1036.79,1394.35,1702.15,1932.27,2083.55,2175.28,2230.9,2274.21,2300.33,2318.47,2323.18,2332.96,2340.32,2345.65,2349.35,2354.16
A4,amp0,SYBR,13.44,10.8,5.42,5.35,-0.84,-0.61,1.87,2.89,2.62,15.35,30.88,63.87,118.69,211.57,377.24,618.37,949.54,1264.86,1534.97,1732.63,1858.7,1934.3,1979.94,2014.57,2033.47,2045.47,2050.71,2057.29,2063.45,2063.38,2062.16,2060.39,2066.46,2078.04,2099.49,2122.46,2149.3,2174.86,2199.35,2217.43,2229.01
C7,amp0,SYBR,22.33,13.39,2.64,-1.77,3.46,4.57,1.59,0.53,-1.51,3.23,4.65,-6.67,-2.05,-3.07,0.68,0.24,0.55,7.43,18.16,35.8,70.52,123.35,229.61,402.43,654.84,1007.44,1374.02,1688.95,1924.29,2078.82,2174.6,2235.94,2272.95,2299.79,2318.29,2333.21,2344.53,2351.87,2359.11,2368.55,2382.37
C8,amp0,SYBR,22.44,8.8,2.46,2.6,4.3,-2.71,0.53,0.5,2.14,-1.03,4.94,-0.39,-0.63,-3.21,-2.89,-0.73,0.11,9.01,11.69,30.71,63.42,119.76,211.98,375.04,621.29,954.15,1297.41,1597.13,1823.78,1973.87,2064.76,2120.31,2158.83,2181.69,2197.11,2208.6,2221.08,2230.2,2236.47,2241.04,2245.7
C9,amp0,SYBR,26.68,2.02,2.37,2.06,2.47,-1.75,3.46,0.41,0.24,0.4,-1.45,3.75,1.05,0.84,-3.77,0.96,-6.43,-3.05,-0.73,2.18,2.8,7.05,16.58,26.52,55.38,103.98,184.97,328.05,557.39,893.78,1284.89,1639.6,1927.46,2124.54,2251.39,2324.77,2375.72,2407.78,2434.06,2451.62,2466.81
C10,amp0,SYBR,26.92,6.68,3.22,-1.32,1.79,-0.96,3.13,-1.06,3.77,1.14,-0.89,1.17,1.89,3.95,1.08,-1.38,-1.55,1.71,-3.05,1.27,-1.33,-0.08,5.09,20.67,48.34,92.44,168.14,296.42,500.92,812.75,1192.35,1544.98,1838.47,2046.06,2177.7,2256.22,2307.43,2340.06,2366.16,2382.99,2398.76
C11,amp0,SYBR,26.96,9.77,1.65,-3.18,2.88,0.34,9.62,-0.71,0.84,1.78,3.56,-2.27,-1.2,-3.77,0.04,0.21,-3.39,1.14,-2.33,3.49,-1.26,1.32,7.03,21.89,50.85,85.58,161.76,287.64,493.39,795.66,1167.43,1512.81,1794.87,1990.71,2114.47,2189.21,2242.56,2274.96,2299.9,2315.31,2330.0
C12,amp0,SYBR,26.94,1.74,2.34,0.81,4.99,2.3,4.08,-0.01,0.67,-1.36,-2.92,-3.97,1.15,-0.84,-0.46,0.15,-4.72,-5.66,-0.02,-0.23,1.68,5.06,7.16,17.14,49.19,87.91,164.89,294.65,497.73,791.44,1145.67,1466.18,1724.07,1898.44,2010.02,2077.56,2122.78,2153.15,2172.28,2185.84,2196.54
D1,amp0,SYBR,26.52,5.04,0.6,0.68,-0.31,0.33,4.07,0.18,0.67,3.3,3.16,4.96,-5.35,-2.61,-1.33,-3.22,-1.97,-4.75,-0.61,1.66,1.97,8.66,17.4,31.91,58.24,111.97,202.34,359.65,599.08,929.44,1281.2,1586.55,1817.62,1968.47,2060.94,2118.43,2160.48,2190.25,2209.61,2226.34,2242.67
D2,amp0,SYBR,26.77,5.43,-3.65,-4.79,-1.01,3.38,1.36,4.56,3.64,2.94,4.2,-3.52,0.78,0.19,1.48,-0.98,-1.29,-3.49,-1.29,-4.58,1.24,-1.04,9.92,27.02,47.39,94.88,176.72,317.0,533.6,844.1,1200.54,1520.06,1774.2,1942.56,2047.46,2109.92,2152.59,2182.78,2203.42,2220.57,2232.46
D3,amp0,SYBR,27.05,1.47,1.08,-1.48,3.03,-1.48,1.96,0.56,1.63,-1.68,6.87,1.38,-1.24,-0.93,0.65,-2.48,-0.69,0.8,-2.61,-1.13,-0.43,7.17,13.63,27.37,46.11,86.11,154.5,277.37,470.93,748.18,1083.49,1383.76,1628.59,1798.87,1905.36,1971.17,2012.88,2039.71,2059.77,2074.9,2085.4
D4,amp0,SYBR,26.83,0.29,1.83,-1.5,-0.54,2.57,1.72,1.16,4.12,2.31,1.38,-4.46,1.98,1.8,1.78,0.98,-4.07,-4.14,-0.19,-2.07,-0.84,3.37,6.46,22.53,50.93,91.16,171.24,306.2,520.06,827.58,1201.78,1544.02,1821.28,2015.89,2138.5,2214.55,2261.37,2293.8,2318.59,2337.23,2349.67
A5,amp0,SYBR,13.54,12.45,4.38,4.45,0.64,0.3,0.01,-1.31,5.68,12.97,27.55,60.49,112.04,204.19,363.05,588.94,893.96,1188.09,1436.49,1616.94,1733.52,1806.03,1848.92,1877.0,1896.26,1908.55,1914.21,1919.08,1926.75,1935.22,1937.25,1941.52,1944.49,1957.57,1977.14,2008.02,2039.93,2070.12,2097.65,2119.45,2135.59
D5,amp0,SYBR,30.68,3.7,0.05,1.88,-1.08,-0.99,-2.2,4.15,3.35,1.61,1.14,-1.94,5.75,0.41,0.66,0.51,2.33,-1.72,-2.75,0.48,-6.43,-0.63,-1.95,-3.25,0.0,4.88,8.36,24.8,56.79,97.06,184.27,325.3,558.54,892.87,1309.47,1693.33,2008.13,2227.96,2367.84,2453.04,2512.38
D6,amp0,SYBR,30.75,0.31,-2.05,-1.06,-5.37,-1.23,4.73,4.28,2.75,0.78,4.05,-1.43,3.11,3.66,-0.72,-1.33,-3.89,0.74,1.82,-3.09,-1.48,-0.84,-2.63,-1.3,0.93,7.88,14.75,25.21,49.87,95.15,183.54,313.25,540.86,871.1,1286.96,1674.61,1992.9,2218.31,2360.42,2447.74,2505.23
D7,amp0,SYBR,30.32,3.01,-0.53,-0.06,3.33,1.09,-0.39,-1.59,9.03,-2.56,-2.67,2.42,-3.37,2.49,0.99,-0.47,-2.07,3.48,-1.91,-0.23,-1.35,-0.0,1.15,-2.57,2.65,5.5,13.85,33.98,67.5,120.38,220.57,400.33,666.9,1040.55,1456.2,1823.47,2109.01,2297.66,2416.11,2485.5,2532.42
D8,amp0,SYBR,30.84,-1.84,-2.29,0.61,-1.71,3.2,1.45,4.47,3.94,0.61,2.94,-3.03,1.09,-1.41,-3.03,1.41,-2.52,-0.58,-3.87,-1.01,-2.84,1.79,-2.33,-1.88,-1.16,4.72,10.23,25.6,52.63,90.56,169.53,301.38,519.94,836.62,1231.63,1598.71,1910.05,2125.19,2261.72,2339.0,2397.24
D9,amp0,SYBR,30.87,3.45,-1.45,-1.34,3.83,4.57,-3.56,-3.42,2.81,-0.24,1.99,-0.78,3.5,4.84,1.99,0.48,-1.62,3.66,-1.93,-4.46,-0.69,-0.92,-5.32,-1.99,0.34,0.55,11.29,24.65,46.29,91.68,172.95,303.61,511.84,828.49,1212.05,1567.24,1859.38,2063.93,2191.7,2267.57,2320.92
D10,amp0,SYBR,31.18,0.52,4.17,3.8,0.65,0.15,-0.28,-1.87,4.4,3.08,-3.54,1.87,2.12,0.34,-2.34,-0.46,-1.39,3.52,-3.1,-5.16,-0.2,-1.5,-0.09,-2.01,-1.05,5.36,7.49,22.64,39.14,77.18,146.39,257.54,437.25,705.52,1060.54,1399.2,1684.8,1890.54,2021.95,2103.13,2160.91
D11,amp0,SYBR,31.3,-5.58,-2.88,3.68,-4.84,-0.44,4.1,0.37,-2.59,1.13,2.18,2.22,1.44,-0.86,2.24,3.23,-3.93,-5.53,-0.76,-2.09,-1.73,-0.54,0.95,-3.19,0.23,1.31,7.18,21.22,43.78,73.95,136.08,237.41,410.54,659.99,997.02,1347.17,1647.56,1868.56,2012.35,2098.73,2157.34
D12,amp0,SYBR,30.77,8.54,-0.53,-0.71,4.82,-0.19,3.43,0.13,1.64,2.59,0.89,-0.63,-5.56,3.81,2.42,-0.38,-3.46,-2.31,-3.48,-3.79,-2.14,-4.63,-4.22,-4.23,1.88,7.22,12.76,30.66,55.14,102.98,177.83,321.12,532.39,851.05,1227.25,1569.31,1845.5,2035.15,2154.02,2225.29,2273.65
E1,amp0,SYBR,32.67,3.93,5.89,0.57,1.12,0.39,1.2,1.29,-0.6,-0.44,2.69,-3.28,2.44,3.23,0.72,-0.9,1.09,3.87,2.0,-3.16,-1.3,-1.92,-3.57,-2.29,-1.03,-0.59,-1.08,-0.45,11.48,19.38,47.96,95.06,176.85,320.24,564.46,917.05,1365.04,1785.22,2136.86,2387.85,2566.43
E2,amp0,SYBR,33.29,3.28,-0.97,6.53,-0.04,0.9,-0.6,0.04,-1.3,-1.04,1.54,0.55,0.24,-2.84,1.62,-1.09,3.89,0.01,-2.19,-0.23,-0.11,0.95,-3.7,0.7,-5.27,0.1,-1.64,4.76,8.0,16.1,35.94,69.57,128.45,232.03,404.7,681.07,1054.17,1460.86,1816.93,2090.0,2292.31
A6,amp0,SYBR,13.75,9.29,2.57,5.93,0.47,-1.88,-1.22,0.71,5.66,11.63,28.25,51.82,102.25,183.94,326.21,536.47,814.28,1079.36,1301.9,1464.9,1568.61,1632.71,1671.48,1693.99,1709.09,1719.52,1726.54,1731.41,1732.04,1734.25,1735.81,1739.12,1740.92,1748.45,1763.38,1784.73,1806.8,1829.91,1850.82,1869.49,1883.61
E3,amp0,SYBR,33.57,-2.6,-1.51,-1.25,1.06,-0.84,0.3,1.38,-0.49,3.18,0.64,1.61,-1.31,1.15,2.71,2.8,-2.02,0.67,2.2,-4.88,-1.09,4.05,-1.74,-5.02,-5.4,1.26,4.08,0.81,4.69,20.37,33.05,61.05,111.4,199.15,352.67,584.34,935.15,1343.77,1715.2,2014.54,2248.31
E4,amp0,SYBR,33.64,-1.18,-1.19,-0.45,-0.18,-0.77,1.1,5.97,-1.2,-0.04,-0.58,-0.63,1.7,1.84,2.24,2.55,-2.94,-1.3,-0.74,1.38,-2.66,0.57,-0.52,-1.65,3.95,-2.01,1.71,-2.14,5.0,13.75,29.21,59.79,97.99,191.55,336.05,569.62,911.39,1328.45,1712.11,2025.47,2270.24
E5,amp0,SYBR,33.25,1.71,-0.25,-1.76,-0.87,0.12,0.57,-0.29,3.73,1.33,0.2,2.29,4.36,-0.54,1.85,-0.42,-1.15,1.54,-0.62,-1.51,1.58,-2.31,-1.14,-0.54,-2.43,-4.73,1.67,1.02,7.6,20.96,35.48,67.78,132.23,239.82,415.2,688.15,1074.3,1485.21,1846.99,2126.04,2333.71
E6,amp0,SYBR,33.38,-1.21,1.32,-3.17,2.49,0.26,2.64,0.51,-0.58,1.68,3.53,-0.29,1.16,1.8,-1.76,1.66,3.16,1.12,1.67,-8.62,-1.53,-0.28,-3.74,-4.19,0.95,-1.08,0.56,5.03,6.24,18.97,32.68,68.44,124.41,216.41,387.49,641.2,1001.45,1399.39,1749.14,2017.05,2220.58
E7,amp0,SYBR,33.67,2.81,0.32,3.26,1.56,4.83,3.3,-0.8,-3.22,-1.27,2.9,-2.24,-3.33,-0.86,2.08,2.63,0.86,1.63,-1.54,0.4,-1.94,-5.48,1.12,-4.55,-1.4,-3.42,-2.96,2.28,1.98,14.3,28.24,56.96,102.28,188.6,332.92,559.66,907.63,1312.02,1682.73,1983.89,2220.04
E8,amp0,SYBR,34.37,-5.54,-3.48,-1.23,3.01,-1.21,2.77,3.12,-1.45,3.58,-4.16,-3.55,3.94,-2.72,1.46,4.66,3.01,0.9,1.54,-6.21,-0.73,0.86,-0.53,-1.88,0.55,-1.61,-0.77,-3.49,3.22,7.36,19.45,30.38,68.24,118.44,220.98,388.23,646.26,1015.45,1424.41,1785.16,2097.71
A7,amp0,SYBR,13.64,10.09,-0.07,3.24,-0.49,0.95,-0.59,4.12,0.78,16.03,29.0,56.13,110.65,193.05,348.74,559.56,845.67,1114.28,1345.31,1512.53,1619.66,1683.96,1723.8,1751.02,1768.61,1782.14,1790.48,1795.27,1800.01,1802.78,1807.0,1809.61,1813.34,1817.3,1830.83,1852.55,1880.75,1909.23,1934.15,1971.04,2018.62
A8,amp0,SYBR,14.48,10.61,1.81,6.37,2.3,-1.16,-3.5,-3.81,5.93,4.83,13.13,38.16,76.37,132.55,236.49,385.37,591.89,795.7,958.14,1083.22,1159.89,1209.11,1239.02,1261.3,1274.07,1282.32,1287.86,1290.34,1296.11,1297.66,1299.99,1299.31,1303.54,1313.2,1328.03,1343.05,1356.17,1365.15,1372.38,1378.57,1385.52
A9,amp0,SYBR,14.53,11.61,5.73,4.24,2.55,2.02,1.14,-5.08,0.65,1.18,6.69,25.25,51.91,108.0,201.55,357.09,596.11,918.13,1253.5,1542.67,1759.87,1905.3,1997.47,2054.45,2094.22,2119.55,2139.82,2151.68,2162.23,2168.92,2173.76,2179.13,2185.49,2199.65,2222.26,2249.8,2274.79,2297.31,2316.23,2334.97,2349.81
A10,amp0,SYBR,14.8,12.7,3.18,2.01,-0.29,6.75,-3.75,0.03,-1.36,4.22,1.73,22.82,48.05,90.51,179.83,316.62,525.99,810.46,1115.27,1376.77,1575.15,1708.01,1793.82,1843.03,1877.78,1902.61,1920.79,1932.46,1942.4,1951.62,1958.02,1960.86,1967.26,1979.92,1997.76,2023.0,2049.52,2077.14,2100.91,2122.43,2142.0
