Well,Curve,Dye,CT,Cycle 1,Cycle 2,Cycle 3,Cycle 4,Cycle 5,Cycle 6,Cycle 7,Cycle 8,Cycle 9,Cycle 10,Cycle 11,Cycle 12,Cycle 13,Cycle 14,Cycle 15,Cycle 16,Cycle 17,Cycle 18,Cycle 19,Cycle 20,Cycle 21,Cycle 22,Cycle 23,Cycle 24,Cycle 25,Cycle 26,Cycle 27,Cycle 28,Cycle 29,Cycle 30,Cycle 31,Cycle 32,Cycle 33,Cycle 34,Cycle 35,Cycle 36,Cycle 37,Cycle 38,Cycle 39,Cycle 40
A1,amp0,SYBR,13.46,10.43,7.45,4.11,3.03,-0.8,-1.21,4.27,3.45,10.88,24.77,54.23,112.61,207.23,372.19,615.57,943.36,1249.2,1506.37,1690.33,1806.35,1875.13,1918.06,1945.45,1963.05,1973.7,1979.7,1983.52,1985.94,1986.2,1984.83,1985.57,1994.89,2009.95,2031.05,2052.76,2077.85,2099.09,2115.45,2125.26,2131.26
A2,amp0,SYBR,13.45,19.07,10.31,2.99,4.77,-0.42,-1.81,0.98,5.54,12.02,23.77,55.09,112.62,207.36,374.67,617.33,933.96,1232.68,1480.63,1654.06,1763.39,1827.4,1867.59,1893.12,1911.98,1923.72,1932.53,1938.97,1944.96,1945.02,1944.59,1944.37,1950.98,1961.14,1981.24,2006.51,2031.52,2054.4,2072.7,2090.04,2101.99
A11,amp0,SYBR,14.82,14.89,2.35,5.31,5.31,2.57,-8.01,-5.7,2.62,-0.9,9.39,20.46,46.21,88.11,177.96,308.81,522.77,803.57,1106.38,1367.95,1562.51,1694.62,1776.24,1827.15,1860.95,1883.22,1899.16,1909.3,1919.14,1924.36,1928.0,1930.31,1935.71,1945.47,1962.23,1985.77,2011.39,2034.0,2053.02,2071.43,2090.39
A12,amp0,SYBR,14.87,8.2,0.36,5.16,4.27,-1.94,0.04,-6.82,-2.06,3.39,6.83,16.47,46.47,88.34,168.31,302.2,510.78,782.97,1064.75,1305.21,1481.68,1597.0,1666.06,1707.27,1734.42,1753.16,1764.34,1769.93,1775.65,1779.97,1782.39,1785.34,1788.91,1796.58,1807.68,1828.09,1851.25,1873.92,1893.22,1910.0,1922.22
B1,amp0,SYBR,14.72,9.99,4.79,3.06,2.68,0.09,-1.1,3.28,-0.27,3.97,8.91,22.3,48.32,92.49,181.98,325.77,547.53,840.73,1144.16,1401.45,1590.49,1711.26,1787.77,1830.27,1859.78,1877.29,1893.58,1903.42,1908.19,1911.21,1912.81,1916.02,1919.55,1927.29,1942.52,1963.94,1988.49,2013.34,2035.43,2057.5,2078.2
B2,amp0,SYBR,15.1,13.97,6.19,5.18,3.02,-0.15,-2.74,-2.23,3.49,2.52,3.91,17.07,37.21,77.61,152.16,276.49,458.04,721.15,1015.65,1252.42,1441.45,1566.9,1647.0,1694.62,1725.11,1740.34,1751.89,1759.21,1767.59,1773.27,1777.02,1781.34,1781.95,1788.0,1794.63,1814.92,1834.22,1858.95,1880.29,1905.41,1929.74
B3,amp0,SYBR,15.03,16.53,7.05,6.18,3.02,-2.36,-1.01,2.2,-1.33,0.48,7.09,19.19,45.12,81.32,155.86,279.57,477.12,751.45,1063.76,1319.76,1525.04,1666.23,1752.04,1804.78,1838.1,1859.87,1876.8,1887.11,1895.49,1901.74,1904.14,1908.1,1912.79,1921.76,1935.23,1954.76,1978.56,2000.49,2021.83,2042.16,2063.03
B4,amp0,SYBR,14.9,6.08,3.79,4.13,4.07,-1.22,0.3,1.72,-4.19,0.98,7.41,20.46,42.42,92.48,166.69,301.34,504.33,786.39,1095.62,1367.59,1576.75,1719.74,1808.8,1862.68,1895.69,1917.11,1933.36,1942.89,1949.36,1955.37,1960.8,1965.14,1969.66,1972.06,1978.13,1990.12,2010.9,2036.26,2060.37,2084.25,2106.71
B5,amp0,SYBR,18.38,5.91,3.06,4.56,2.07,1.99,-3.78,1.47,-0.59,0.04,-2.66,0.29,0.65,6.55,13.3,26.71,65.77,118.64,224.45,386.53,644.31,986.52,1343.27,1652.2,1885.39,2039.93,2135.31,2192.51,2233.88,2260.04,2278.57,2287.63,2296.51,2303.52,2308.71,2313.28,2319.85,2333.89,2360.31,2392.88,2426.69
B6,amp0,SYBR,18.37,4.79,8.99,0.21,4.36,-0.86,3.54,-0.47,1.8,2.14,-0.7,-1.4,-0.9,5.92,10.51,24.35,63.66,121.53,215.11,387.78,646.29,986.38,1350.46,1663.12,1895.97,2052.81,2150.27,2208.3,2247.01,2270.84,2290.36,2302.76,2317.87,2334.58,2350.14,2354.94,2353.72,2357.37,2378.7,2406.81,2434.84
