Well,Curve,Dye,CT,Cycle 1,Cycle 2,Cycle 3,Cycle 4,Cycle 5,Cycle 6,Cycle 7,Cycle 8,Cycle 9,Cycle 10,Cycle 11,Cycle 12,Cycle 13,Cycle 14,Cycle 15,Cycle 16,Cycle 17,Cycle 18,Cycle 19,Cycle 20,Cycle 21,Cycle 22,Cycle 23,Cycle 24,Cycle 25,Cycle 26,Cycle 27,Cycle 28,Cycle 29,Cycle 30,Cycle 31,Cycle 32,Cycle 33,Cycle 34,Cycle 35,Cycle 36,Cycle 37,Cycle 38,Cycle 39,Cycle 40
B10,amp0,SYBR,20.49,14.32,6.29,2.81,4.58,3.94,-2.66,2.68,-1.58,-0.59,-1.0,1.68,-2.88,-0.97,-3.53,0.55,11.9,31.94,55.55,107.24,196.73,349.62,590.87,947.04,1379.5,1778.89,2106.28,2335.04,2475.89,2558.47,2606.91,2637.8,2657.42,2672.07,2682.19,2691.47,2695.14,2700.73,2703.27,2707.93,2710.43
B11,amp0,SYBR,20.84,13.67,8.48,3.84,3.42,2.92,-0.09,-3.18,2.73,-1.2,-3.56,-0.24,-2.66,0.42,-4.4,5.71,7.36,26.41,49.32,95.73,167.1,297.18,499.96,812.54,1192.12,1550.76,1851.72,2063.32,2194.92,2272.38,2324.16,2357.04,2379.47,2394.41,2406.59,2415.91,2424.23,2428.28,2431.04,2430.17,2430.81
B12,amp0,SYBR,20.62,16.96,12.38,8.86,4.32,3.08,-1.02,-6.67,-0.91,-3.1,-4.51,-9.19,-1.31,-1.38,1.02,2.47,12.0,19.8,56.88,103.77,180.34,334.46,549.5,859.97,1193.07,1484.0,1707.67,1852.29,1941.14,1990.77,2018.11,2036.5,2048.89,2058.58,2063.2,2067.64,2074.73,2078.19,2083.7,2090.12,2102.58
C1,amp0,SYBR,23.58,10.45,8.62,-0.42,5.42,1.96,2.2,-1.03,1.6,-0.29,-2.53,1.48,2.21,-1.91,-5.25,-3.09,-4.01,-1.35,5.27,9.49,28.08,51.06,97.05,181.55,326.63,568.91,936.02,1430.16,1900.41,2301.23,2586.91,2768.08,2878.32,2946.31,2991.74,3023.47,3048.03,3063.77,3079.38,3086.85,3089.63
C2,amp0,SYBR,24.04,4.01,0.23,1.35,7.32,0.49,1.42,3.37,4.2,-0.77,-2.18,0.99,-6.89,0.0,-1.18,-6.96,-3.59,-6.2,4.72,1.88,16.31,35.01,74.73,139.27,258.59,456.33,763.13,1194.03,1683.31,2113.32,2444.66,2667.53,2805.58,2891.17,2945.53,2983.77,3012.29,3030.26,3044.81,3055.47,3068.26
C3,amp0,SYBR,24.18,9.47,2.19,2.3,4.8,6.11,5.12,-1.42,-0.48,0.54,1.76,-4.36,-3.76,-1.26,-5.94,-3.04,-5.95,-2.89,-4.09,8.03,18.29,32.11,66.66,126.17,231.82,414.93,698.42,1114.62,1616.22,2076.18,2448.2,2704.36,2861.89,2955.04,3012.8,3052.67,3079.57,3096.86,3107.34,3115.48,3121.75
C4,amp0,SYBR,24.27,10.99,7.21,-0.8,7.7,3.62,2.62,2.73,-0.87,4.39,-3.63,-0.55,-4.68,-1.12,-8.02,-3.7,-0.61,-3.68,0.82,7.81,11.69,34.64,61.6,119.92,220.87,394.23,664.54,1066.58,1560.69,2017.34,2392.67,2654.94,2817.67,2915.21,2973.79,3014.68,3044.59,3065.94,3079.14,3088.23,3098.06
C5,amp0,SYBR,24.32,12.19,4.06,5.37,0.96,4.88,1.76,2.77,-2.9,-2.47,-1.43,5.71,-3.7,-3.19,-1.41,-1.91,-9.46,-0.25,3.85,3.53,11.82,35.32,64.78,118.6,218.2,384.16,646.96,1037.04,1495.45,1911.46,2245.34,2474.76,2616.81,2701.62,2753.12,2786.96,2809.5,2825.36,2835.73,2845.48,2855.06
C6,amp0,SYBR,24.25,5.17,1.51,3.3,-1.48,3.64,-1.24,0.3,3.76,2.62,2.91,-2.9,0.3,0.06,-4.82,-0.69,-4.31,-0.91,3.83,8.67,16.29,36.66,65.51,129.0,231.66,400.45,664.26,1050.07,1517.47,1937.65,2265.84,2483.74,2615.68,2696.23,2744.86,2779.23,2802.36,2817.55,2825.39,2832.5,2838.94
A4,amp0,SYBR,15.47,8.63,8.53,5.32,1.31,-0.15,-1.44,1.86,5.25,14.11,20.97,34.65,63.14,106.16,169.18,264.57,392.3,553.68,746.62,936.67,1102.67,1228.49,1308.62,1356.43,1386.15,1412.38,1441.84,1484.21,1549.16,1637.6,1748.09,1864.81,1974.21,2060.55,2121.58,2157.04,2173.91,2178.35,2182.87,2204.61,2244.68
